TS,Date[TS],Month Year[TS],Batch number,BatchID,Batch time [h:min],Total batch duration,Batch index,Batch starts,Batch ends,BatchID (#),Phase,Batch-Phase,PhaseID,Phase time [h:min],Total phase duration [h:min],PhaseID (#),Aligned phase index,Phase index,Phase starts,Phase ends,Y (Final solvent concentration) [%],Selected,Quality,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Tank level [%],Differential pressure [mmHg],Dryer pressure [mmHg],Power [W],Agitator Speed [rpm],Torque [Nm],Jacket Temp SP [degC],Jacket Temp PV  [degC],abs(Jacket Temp SP-PV)  [degC],Dryer Temp SP [degC],Dryer Temp PV [degC],abs(Dryer Temp SP-PV)  [degC],Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z (Initial cake weight) [kg],Level1,Temp1,Temp2,Time4,Time1,Time2,Time3,TempSlope,T²,row_index,anomaly_score,batch_anomaly_score,Batch starts 2,Batch ends 2
2021-08-07 8:17:46 AM,2021-08-07,08-2021,Batch 1,1,0:00,2:27,1,1,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:00,1:02,1,1.01587302,1,,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,0,0.648,119.943,127.302,8.01,39.515,100,18.697,81.303,20,19.614,0.386,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,1,0.05855935,737.04,,0
2021-08-07 8:18:46 AM,2021-08-07,08-2021,Batch 1,1,0:01,2:27,2,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:01,1:02,1,1.03174603,2,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,0.156,1.028,62.902,138.398,8.01,40.26,100,38.654,61.346,41.161,20.247,20.914,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,2,0.40490457,737.04,0,0
2021-08-07 8:19:46 AM,2021-08-07,08-2021,Batch 1,1,0:02,2:27,3,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:02,1:02,1,1.04761905,3,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,0.981,1.218,56.042,141.096,8.01,37.37,100,57.419,42.581,57.394,22.018,35.376,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,3,0.69611455,737.04,0,0
2021-08-07 8:20:46 AM,2021-08-07,08-2021,Batch 1,1,0:03,2:27,4,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:03,1:02,1,1.06349206,4,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,1.856,1.262,56.431,140.87,8.01,40.803,100,74.791,25.209,76.874,21.52,55.354,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,4,0.78452375,737.04,0,0
2021-08-07 8:21:46 AM,2021-08-07,08-2021,Batch 1,1,0:04,2:27,5,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:04,1:02,1,1.07936508,5,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,2.73,1.332,56.82,136.792,8.01,35.893,86.552,89.337,2.785,85.059,21.886,63.173,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,5,0.83374684,737.04,0,0
2021-08-07 8:22:46 AM,2021-08-07,08-2021,Batch 1,1,0:05,2:27,6,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:05,1:02,1,1.0952381,6,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,3.605,1.494,57.209,137.555,8.01,39.609,53.396,86.91,33.514,87.214,22.664,64.55,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,6,0.98584038,737.04,0,0
2021-08-07 8:23:46 AM,2021-08-07,08-2021,Batch 1,1,0:06,2:27,7,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:06,1:02,1,1.11111111,7,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,4.479,1.548,57.598,136.104,8.011,41.14,54.893,81.861,26.968,86.875,23.365,63.51,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,7,1.00931268,737.04,0,0
2021-08-07 8:24:46 AM,2021-08-07,08-2021,Batch 1,1,0:07,2:27,8,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:07,1:02,1,1.12698413,8,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,5.437,1.573,58.087,133.75,8.011,38.172,79.226,84.477,5.251,86.469,24.303,62.166,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,8,1.03766983,737.04,0,0
2021-08-07 8:25:46 AM,2021-08-07,08-2021,Batch 1,1,0:08,2:27,9,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:08,1:02,1,1.14285714,9,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,6.551,1.605,58.679,135.248,8.011,37.349,68.117,86.362,18.245,86.296,24.622,61.674,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,9,1.04594936,737.04,0,0
2021-08-07 8:26:46 AM,2021-08-07,08-2021,Batch 1,1,0:09,2:27,10,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:09,1:02,1,1.15873016,10,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,7.667,1.669,59.271,131.063,8.011,35.748,58.869,85.325,26.456,86.077,25.073,61.004,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,10,1.10181951,737.04,0,0
2021-08-07 8:27:46 AM,2021-08-07,08-2021,Batch 1,1,0:10,2:27,11,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:10,1:02,1,1.17460317,11,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,8.825,1.729,59.837,132.226,8.011,33.382,62.274,84.484,22.21,85.938,25.344,60.594,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,11,1.07226303,737.04,0,0
2021-08-07 8:28:46 AM,2021-08-07,08-2021,Batch 1,1,0:11,2:27,12,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:11,1:02,1,1.19047619,12,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,10.062,1.783,60.375,130.355,8.011,43.457,67.556,84.734,17.178,85.843,25.314,60.529,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,12,1.10544609,737.04,0,0
2021-08-07 8:29:46 AM,2021-08-07,08-2021,Batch 1,1,0:12,2:27,13,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:12,1:02,1,1.20634921,13,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,11.287,1.827,60.913,130.6,8.011,37.906,66.847,85.265,18.418,85.781,25.903,59.878,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,13,1.11866465,737.04,0,0
2021-08-07 8:30:46 AM,2021-08-07,08-2021,Batch 1,1,0:13,2:27,14,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:13,1:02,1,1.22222222,14,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,12.587,1.852,61.325,127.41,8.012,37.837,63.648,85.176,21.528,85.741,25.774,59.967,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,14,1.12749489,737.04,0,0
2021-08-07 8:31:46 AM,2021-08-07,08-2021,Batch 1,1,0:14,2:27,15,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:14,1:02,1,1.23809524,15,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,13.862,1.871,61.231,126.23,8.012,36.399,63.028,85.003,21.975,85.701,25.807,59.894,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,15,1.06733575,737.04,0,0
2021-08-07 8:32:46 AM,2021-08-07,08-2021,Batch 1,1,0:15,2:27,16,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:15,1:02,1,1.25396825,16,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,15.159,1.917,61.137,126.403,8.012,34.525,64.362,84.878,20.516,85.68,25.951,59.729,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,16,1.09047162,737.04,0,0
2021-08-07 8:33:46 AM,2021-08-07,08-2021,Batch 1,1,0:16,2:27,17,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:16,1:02,1,1.26984127,17,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,16.455,1.977,61.043,124.58,8.012,36.594,64.914,84.998,20.084,85.668,25.67,59.998,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,17,1.08303259,737.04,0,0
2021-08-07 8:34:46 AM,2021-08-07,08-2021,Batch 1,1,0:17,2:27,18,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:17,1:02,1,1.28571429,18,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,17.755,1.98,60.949,123.965,8.012,31.339,64.486,85.011,20.525,85.656,25.802,59.854,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,18,1.09299826,737.04,0,0
2021-08-07 8:35:46 AM,2021-08-07,08-2021,Batch 1,1,0:18,2:27,19,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:18,1:02,1,1.3015873,19,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,19.097,2.015,60.855,122.913,8.012,33.301,63.836,85.01,21.174,85.644,25.867,59.777,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,19,1.07809525,737.04,0,0
2021-08-07 8:36:46 AM,2021-08-07,08-2021,Batch 1,1,0:19,2:27,20,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:19,1:02,1,1.31746032,20,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,20.408,2.123,60.761,121.85,8.013,33.394,64.037,85.009,20.972,85.632,25.904,59.728,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,20,1.14686633,737.04,0,0
2021-08-07 8:37:46 AM,2021-08-07,08-2021,Batch 1,1,0:20,2:27,21,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:20,1:02,1,1.33333333,21,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,21.712,2.146,60.667,120.911,8.013,38.632,64.374,85.009,20.635,85.62,25.915,59.705,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,21,1.12501716,737.04,0,0
2021-08-07 8:38:46 AM,2021-08-07,08-2021,Batch 1,1,0:21,2:27,22,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:21,1:02,1,1.34920635,22,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,23.067,2.17,60.573,119.541,8.013,32.289,64.309,85.008,20.699,87.379,25.786,61.593,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,22,1.11119924,737.04,0,0
2021-08-07 8:39:46 AM,2021-08-07,08-2021,Batch 1,1,0:22,2:27,23,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:22,1:02,1,1.36507937,23,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,24.368,2.193,60.479,118.259,8.013,31.273,63.838,85.008,21.17,87.428,25.722,61.706,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,23,1.10203608,737.04,0,0
2021-08-07 8:40:46 AM,2021-08-07,08-2021,Batch 1,1,0:23,2:27,24,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:23,1:02,1,1.38095238,24,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,25.685,2.247,60.385,118.065,8.013,33.86,63.485,85.007,21.522,87.476,25.658,61.818,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,24,1.0628215,737.04,0,0
2021-08-07 8:41:46 AM,2021-08-07,08-2021,Batch 1,1,0:24,2:27,25,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:24,1:02,1,1.3968254,25,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,26.928,2.302,60.291,117.84,8.013,28.218,63.435,85.006,21.571,87.525,25.448,62.077,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,25,1.03798714,737.04,0,0
2021-08-07 8:42:46 AM,2021-08-07,08-2021,Batch 1,1,0:25,2:27,26,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:25,1:02,1,1.41269841,26,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,28.238,2.347,60.197,115.745,8.013,32.433,63.385,85.006,21.621,87.54,25.559,61.981,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,26,1.02562737,737.04,0,0
2021-08-07 8:43:46 AM,2021-08-07,08-2021,Batch 1,1,0:26,2:27,27,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:26,1:02,1,1.42857143,27,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,29.486,2.388,60.103,116.13,8.014,38.331,63.335,85.005,21.67,87.552,25.479,62.073,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,27,0.9976989,737.04,0,0
2021-08-07 8:44:46 AM,2021-08-07,08-2021,Batch 1,1,0:27,2:27,28,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:27,1:02,1,1.44444444,28,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,30.713,2.406,60.009,114.859,8.014,31.806,63.18,85.005,21.825,87.565,25.497,62.068,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,28,0.96251086,737.04,0,0
2021-08-07 8:45:46 AM,2021-08-07,08-2021,Batch 1,1,0:28,2:27,29,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:28,1:02,1,1.46031746,29,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,31.939,2.39,59.915,114.131,8.014,33.014,63.006,85.004,21.998,87.578,25.531,62.047,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,29,1.01398599,737.04,0,0
2021-08-07 8:46:46 AM,2021-08-07,08-2021,Batch 1,1,0:29,2:27,30,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:29,1:02,1,1.47619048,30,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,33.165,2.443,59.821,113.775,8.014,31.361,62.832,85.003,22.171,87.591,25.566,62.025,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,30,0.7303133,737.04,0,0
2021-08-07 8:47:46 AM,2021-08-07,08-2021,Batch 1,1,0:30,2:27,31,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:30,1:02,1,1.49206349,31,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,34.334,2.489,59.727,113.078,8.014,35.4,62.718,85.003,22.285,87.603,25.591,62.012,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,31,0.74678059,737.04,0,0
2021-08-07 8:48:46 AM,2021-08-07,08-2021,Batch 1,1,0:31,2:27,32,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:31,1:02,1,1.50793651,32,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,35.454,2.519,59.633,111.564,8.014,34.231,62.615,85.002,22.387,87.616,25.528,62.088,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,32,0.93685732,737.04,0,0
2021-08-07 8:49:46 AM,2021-08-07,08-2021,Batch 1,1,0:32,2:27,33,0,0,1,Deagglomerate,Batch 1-Deagglomerate,Deagglomerate,0:32,1:02,1,1.52380952,33,0,0,4.98,0,On-spec,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,36.575,2.549,59.539,111.785,8.014,32.607,62.511,85.001,22.49,87.629,25.484,62.145,,,,,,,,,,,,7199.302734,55.6,25.98,83.316,49,87,46,41,1.246434783,0.4292601402,33,0.58473579,737.04,0,0
